id,pred,truth
1,10856.7119140625,10870.02
2,10851.2939453125,10863.83
3,10847.3310546875,10857.789999999999
4,10859.576171875,10874.47
5,10847.880859375,10859.72
6,10848.369140625,10859.91
7,10848.9462890625,10860.0
8,10877.5986328125,10887.94
9,10867.9482421875,10875.39
10,10852.642578125,10861.67
11,10870.5712890625,10879.730000000001
12,10900.40234375,10911.48
13,10893.724609375,10903.45
14,10926.1796875,10937.54
15,10879.3466796875,10892.399999999998
16,10900.4453125,10907.97
17,10855.2607421875,10863.36
18,10887.30078125,10897.89
19,10886.9462890625,10898.29
20,10870.015625,10875.67
21,10876.8427734375,10886.07
22,10891.5703125,10901.32
23,10884.0439453125,10892.030000000002
24,10862.9541015625,10877.74
25,10860.7236328125,10870.23
26,10856.0751953125,10865.66
27,10854.9189453125,10867.86
28,10856.48046875,10868.14
29,10855.7724609375,10869.11
30,10850.3525390625,10864.97
31,10877.02734375,10885.35
32,10868.7841796875,10875.1
33,10854.1962890625,10863.39
34,10747.9384765625,10753.67
35,10682.474609375,10689.48
36,10700.8359375,10713.73
37,10695.9736328125,10705.35
38,10683.3896484375,10698.38
39,10672.2666015625,10681.509999999998
40,10681.001953125,10690.89
41,10669.3544921875,10680.18
42,10679.6240234375,10687.359999999999
43,10678.80859375,10687.98
44,10692.0703125,10703.04
45,10680.8203125,10686.69
46,10681.3291015625,10688.169999999998
47,10660.03515625,10670.28
48,10673.892578125,10683.809999999998
49,10731.68359375,10742.75
50,10707.8388671875,10718.780000000002
51,10715.9736328125,10725.46
52,10713.236328125,10728.25
53,10724.2109375,10732.69
54,10712.98828125,10719.669999999998
55,10700.369140625,10713.51
56,10736.353515625,10752.12
57,10762.857421875,10771.11
58,10758.28515625,10769.13
59,10748.2822265625,10757.55
60,10752.5859375,10754.930000000002
61,10753.861328125,10765.5
62,10732.2548828125,10744.2
63,10747.306640625,10757.649999999998
64,10773.228515625,10788.390000000001
65,10749.57421875,10759.0
66,10746.861328125,10757.0
67,10713.337890625,10723.090000000002
68,10675.7041015625,10681.950000000003
69,10678.474609375,10689.35
70,10652.458984375,10662.259999999998
71,10663.8525390625,10676.2
72,10723.9931640625,10737.65
73,10718.2421875,10727.23
74,10726.244140625,10735.69
75,10732.0634765625,10738.44
76,10749.85546875,10756.14
77,10743.8310546875,10755.76
78,10767.7021484375,10776.88
79,10762.0244140625,10772.54
80,10757.146484375,10769.38
81,10755.6162109375,10765.430000000002
82,10832.685546875,10843.67
83,10825.7294921875,10836.42
84,10807.1865234375,10817.55
85,10802.349609375,10810.0
86,10812.5634765625,10818.38
87,10776.4599609375,10789.24
88,10795.2939453125,10807.61
89,10758.875,10770.07
90,10750.5048828125,10758.55
91,10729.916015625,10739.34
92,10730.6689453125,10740.65
93,10734.8798828125,10742.99
94,10739.2236328125,10747.53
95,10688.1982421875,10696.86
96,10704.9287109375,10718.209999999997
97,10706.787109375,10714.66
98,10712.95703125,10723.849999999999
99,10683.529296875,10695.01
100,10688.8076171875,10700.000000000002
101,10696.6376953125,10707.9
102,10670.3837890625,10681.04
103,10681.0849609375,10693.77
104,10700.484375,10712.11
105,10711.81640625,10722.59
106,10692.2880859375,10704.35
107,10670.0859375,10678.400000000001
108,10713.5576171875,10724.19
109,10718.9365234375,10724.43
110,10722.587890625,10734.76
111,10724.80078125,10737.99
112,10737.875,10743.35
113,10736.078125,10746.859999999999
114,10773.958984375,10782.149999999998
115,10773.822265625,10780.95
116,10766.1728515625,10779.75
117,10775.458984375,10785.72
118,10756.849609375,10762.69
119,10755.5263671875,10768.330000000002
120,10704.2177734375,10711.650000000001
121,10716.9619140625,10729.94
122,10692.7998046875,10700.5
123,10695.3212890625,10708.78
124,10691.416015625,10704.51
125,10691.1826171875,10701.9
126,10721.330078125,10732.87
127,10694.1845703125,10703.53
128,10736.154296875,10745.78
129,10732.9677734375,10742.51
130,10753.390625,10762.21
131,10769.5615234375,10778.22
132,10788.37890625,10798.9
133,10778.2724609375,10787.6
134,10795.4482421875,10802.23
135,10828.9697265625,10839.190000000002
136,10813.677734375,10818.59
137,10811.3037109375,10821.6
138,10798.255859375,10808.449999999999
139,10794.0078125,10800.04
140,10806.0361328125,10817.0
141,10798.185546875,10806.22
142,10805.48046875,10815.6
143,10811.7578125,10823.72
144,10817.0478515625,10826.83
145,10815.7802734375,10824.58
146,10820.37109375,10831.43
147,10818.0673828125,10830.990000000002
148,10890.6083984375,10899.999999999998
149,10874.1474609375,10882.39
150,10879.4287109375,10888.68
151,10894.1435546875,10903.72
152,10856.5859375,10861.420000000002
153,10867.06640625,10872.05
154,10864.2021484375,10872.27
155,10896.4326171875,10908.5
156,10866.5615234375,10876.95
157,10887.2236328125,10895.94
158,10860.6708984375,10872.59
159,10856.96484375,10863.170000000002
160,10837.98046875,10848.620000000003
161,10855.080078125,10865.82
162,10880.20703125,10887.04
163,10711.08984375,10714.680000000002
164,10546.435546875,10557.700000000003
165,10505.7509765625,10510.0
166,10495.88671875,10505.84
167,10473.408203125,10479.46
168,10534.8583984375,10545.55
169,10577.99609375,10585.35
170,10576.1025390625,10584.160000000002
171,10609.2216796875,10620.48
172,10559.974609375,10572.14
173,10593.912109375,10605.0
174,10602.697265625,10612.029999999999
175,10579.5986328125,10589.84
176,10606.0927734375,10616.39
177,10601.2451171875,10604.950000000003
178,10584.25,10593.06
179,10614.36328125,10622.71
180,10594.5478515625,10606.129999999997
181,10581.1181640625,10590.59
182,10603.2412109375,10611.73
183,10583.3828125,10593.16
184,10603.4794921875,10612.290000000003
185,10588.1611328125,10597.690000000002
186,10610.478515625,10622.0
187,10629.3671875,10642.58
188,10642.833984375,10652.45
189,10572.98046875,10581.95
190,10419.91796875,10423.04
191,10429.8759765625,10437.1
192,10477.755859375,10487.56
193,10496.2568359375,10504.96
194,10489.7216796875,10501.989999999998
195,10479.67578125,10490.71
196,10469.625,10479.88
197,10445.8291015625,10457.71
198,10416.142578125,10424.280000000002
199,10428.6005859375,10439.92
200,10435.7724609375,10441.27
201,10451.6455078125,10461.18
202,10450.83203125,10459.8
203,10429.193359375,10437.43
204,10480.9697265625,10491.78
205,10479.21484375,10490.39
206,10453.0537109375,10460.87
207,10519.505859375,10530.08
208,10515.693359375,10523.92
209,10520.00390625,10526.45
210,10531.8291015625,10540.09
211,10511.978515625,10520.49
212,10533.2509765625,10544.62
213,10541.9150390625,10551.98
214,10552.046875,10559.97
215,10530.2197265625,10544.460000000001
216,10535.1376953125,10544.65
217,10542.513671875,10552.63
218,10528.642578125,10538.31
219,10510.2783203125,10517.99
220,10521.2685546875,10535.0
221,10534.923828125,10544.11
222,10519.623046875,10527.0
223,10460.09375,10469.210000000001
224,10518.88671875,10525.96
225,10548.80078125,10563.240000000002
226,10556.880859375,10568.08
227,10570.2119140625,10578.54
228,10532.8603515625,10541.83
229,10544.57421875,10549.36
230,10542.5146484375,10545.529999999999
231,10526.5244140625,10536.519999999999
232,10519.2841796875,10526.92
233,10530.4150390625,10542.25
234,10541.4560546875,10553.49
235,10541.3916015625,10551.89
236,10546.75390625,10556.579999999998
237,10552.5283203125,10559.38
238,10534.26953125,10540.88
239,10531.841796875,10540.69
240,10511.9228515625,10523.71
241,10523.69140625,10532.22
242,10509.77734375,10524.8
243,10521.9541015625,10533.67
244,10530.126953125,10540.87
245,10505.7421875,10511.87
246,10517.2890625,10527.97
247,10514.546875,10525.14
248,10528.9052734375,10538.09
249,10534.44921875,10549.11
250,10528.8388671875,10536.84
251,10533.7626953125,10540.95
252,10527.091796875,10536.98
253,10528.14453125,10536.3
254,10523.697265625,10534.81
255,10522.5498046875,10533.66
256,10537.48046875,10545.44
257,10532.591796875,10543.79
258,10540.1181640625,10549.66
259,10539.447265625,10551.81
260,10539.9853515625,10549.7
261,10583.8466796875,10592.09
262,10557.900390625,10569.8
263,10570.3828125,10581.84
264,10576.609375,10586.38
265,10569.6318359375,10578.63
266,10583.5615234375,10592.06
267,10578.5498046875,10590.0
268,10559.21875,10571.42
269,10561.2900390625,10569.03
270,10554.0869140625,10560.810000000001
271,10568.548828125,10581.65
272,10543.90234375,10551.329999999998
273,10545.5888671875,10558.32
274,10555.2607421875,10559.189999999999
275,10544.140625,10553.66
276,10537.94140625,10554.09
277,10543.556640625,10549.97
278,10522.0185546875,10530.91
279,10535.10546875,10545.0
280,10532.20703125,10541.42
281,10546.265625,10554.56
282,10545.5966796875,10556.85
283,10543.662109375,10550.57
284,10563.8623046875,10574.54
285,10558.9169921875,10567.27
286,10566.564453125,10577.46
287,10553.498046875,10566.75
288,10575.2333984375,10585.990000000002
289,10611.0869140625,10620.519999999999
290,10611.7265625,10620.87
291,10602.5751953125,10612.369999999999
292,10607.1943359375,10616.25
293,10592.091796875,10601.62
294,10582.583984375,10596.51
295,10587.326171875,10600.19
296,10576.63671875,10586.4
297,10578.7060546875,10588.45
298,10573.841796875,10579.01
299,10588.3701171875,10604.719999999998
300,10585.1298828125,10588.05
301,10594.740234375,10607.98
302,10602.4384765625,10613.440000000002
303,10599.28125,10609.15
304,10592.0830078125,10601.7
305,10592.9921875,10602.27
306,10600.6826171875,10610.99
307,10583.6064453125,10596.42
308,10593.6953125,10605.01
309,10590.4775390625,10600.99
310,10587.76171875,10600.11
311,10597.83984375,10606.41
312,10621.9140625,10633.840000000002
313,10626.5830078125,10635.040000000003
314,10663.0810546875,10675.96
315,10665.2333984375,10675.16
316,10673.955078125,10683.54
317,10641.595703125,10647.290000000003
318,10647.951171875,10657.819999999998
319,10645.7939453125,10650.0
320,10655.794921875,10658.44
321,10650.4970703125,10661.17
322,10653.7880859375,10661.53
323,10661.96875,10669.63
324,10706.2861328125,10716.47
325,10700.458984375,10706.95
326,10696.216796875,10707.25
327,10687.3671875,10698.43
328,10692.5126953125,10700.92
329,10700.98046875,10713.35
330,10682.3515625,10690.22
331,10665.3603515625,10673.19
332,10656.6845703125,10664.219999999998
333,10656.6845703125,10663.29
334,10657.791015625,10668.19
335,10667.693359375,10680.04
336,10622.1005859375,10633.94
337,10634.5859375,10646.42
338,10645.0107421875,10650.0
339,10685.9326171875,10694.9
340,10676.9609375,10690.050000000001
341,10664.83984375,10674.980000000001
342,10668.744140625,10681.41
343,10671.791015625,10679.66
344,10654.3818359375,10662.89
345,10669.1494140625,10677.63
346,10662.8662109375,10667.56
347,10655.677734375,10663.880000000001
348,10668.236328125,10679.56
349,10683.529296875,10695.1
350,10701.0263671875,10705.15
351,10720.12109375,10730.0
352,10731.8564453125,10735.51
353,10718.05078125,10728.46
354,10719.328125,10724.999999999998
355,10715.751953125,10725.33
356,10718.8349609375,10728.05
357,10734.318359375,10745.47
358,10711.2001953125,10719.5
359,10686.861328125,10696.35
360,10686.49609375,10695.78
361,10705.5966796875,10718.48
362,10726.07421875,10734.21
363,10719.333984375,10731.0
364,10739.654296875,10751.31
365,10732.958984375,10740.05
366,10739.93359375,10750.46
367,10725.7626953125,10737.34
368,10755.255859375,10765.06
369,10741.8857421875,10749.64
370,10749.0126953125,10753.9
371,10785.7744140625,10794.999999999998
372,10757.1220703125,10765.62
373,10753.298828125,10762.2
374,10754.3857421875,10762.0
375,10758.6044921875,10766.840000000002
376,10764.0556640625,10774.64
377,10758.203125,10767.87
378,10762.1103515625,10775.7
379,10760.3046875,10767.49
380,10768.2744140625,10780.319999999998
381,10759.7734375,10770.99
382,10742.8408203125,10755.949999999999
383,10739.9697265625,10749.25
384,10738.681640625,10749.37
385,10738.7353515625,10748.480000000001
386,10747.802734375,10759.99
387,10704.4931640625,10713.480000000001
388,10716.07421875,10724.02
389,10729.919921875,10738.3
390,10726.2880859375,10737.04
391,10731.775390625,10743.280000000002
392,10715.771484375,10725.2
393,10700.662109375,10710.14
394,10666.22265625,10680.93
395,10681.98828125,10691.13
396,10695.5263671875,10706.2
397,10693.5654296875,10702.1
398,10696.681640625,10708.37
399,10673.6708984375,10683.34
400,10679.5439453125,10695.33
401,10676.4267578125,10675.75
402,10670.9501953125,10685.54
403,10725.0810546875,10734.13
404,10716.650390625,10728.45
405,10711.3544921875,10728.3
406,10700.384765625,10709.91
407,10703.5,10710.04
408,10711.287109375,10723.6
409,10597.5595703125,10603.78
410,10563.2490234375,10574.58
411,10568.7626953125,10575.019999999999
412,10555.123046875,10567.75
413,10536.6376953125,10546.15
414,10553.47265625,10563.760000000002
415,10565.625,10573.81
